HGNCsym	HPOterms
RAB7A	Pes cavus,Pes planus,Foot dorsiflexor weakness,Areflexia,Hammertoe,Autosomal dominant inheritance,Decreased motor nerve conduction velocity,Autoamputation of foot,Distal amyotrophy,Steppage gait,Hyporeflexia,Axonal degeneration/regeneration,Sensory impairment,Dystrophic toenail,Decreased number of peripheral myelinated nerve fibers,Peripheral axonal atrophy,Sensory neuropathy,Distal muscle weakness,Foot osteomyelitis
RAB7B	
RPTOR	
RUBCN	Saccadic smooth pursuit,Intellectual disability,Seizures,Ataxia,Hyperreflexia,Autosomal recessive inheritance,Dysarthria,Unsteady gait,Delayed speech and language development,Hyporeflexia,Gait ataxia,Delayed gross motor development,Motor delay,Limb ataxia,Cerebellar atrophy,Progressive,Postural instability,Nystagmus
RUBCNL	
SNAP29	Ichthyosis,Areflexia,Hypogonadism,Autosomal recessive inheritance,Optic atrophy,Depressed nasal ridge,Infantile onset,Diffuse palmoplantar keratoderma,Dolichocephaly,Polymicrogyria,Macrotia,Stroke,Long face,Pachygyria,Optic disc hypoplasia,Palmoplantar keratoderma,Sensorineural hearing impairment,Proteinuria,Depressed nasal bridge,Intellectual disability,Short stature,Seizures,Congestive heart failure,Ataxia,Nephrotic syndrome,Abnormality of the dentition,Failure to thrive,Muscular hypotonia,Peripheral neuropathy,Intellectual disability, progressive,Prominent nasal bridge,Cortical dysplasia,Downslanted palpebral fissures,Global developmental delay,Wide nasal bridge,Abnormality of eye movement,Intellectual disability, severe,Poor head control,Polyneuropathy,Abnormality of vision,Abnormal corpus callosum morphology,Microcephaly,Hypertelorism,Progressive microcephaly,Abnormality of peripheral nerve conduction
SNAP47	
SNAPIN	
SPG11	Saccadic smooth pursuit,Gaze-evoked nystagmus,EMG abnormality,Abnormality of the hand,Areflexia,Autosomal recessive inheritance,Gait disturbance,Degeneration of the lateral corticospinal tracts,Motor polyneuropathy,Urinary urgency,Lower limb spasticity,Abnormality of the bladder,Spastic gait,Pseudobulbar behavioral symptoms,Urinary incontinence,Peripheral axonal neuropathy,Urinary bladder sphincter dysfunction,Distal peripheral sensory neuropathy,Distal muscle weakness,Babinski sign,Hypoplasia of the corpus callosum,Reduced tendon reflexes,Juvenile onset,Lower limb muscle weakness,Specific learning disability,Bulbar signs,Decreased number of peripheral myelinated nerve fibers,Ankle clonus,Tremor,Knee clonus,Amyotrophic lateral sclerosis,Respiratory insufficiency due to muscle weakness,Abnormal lower motor neuron morphology,Cognitive impairment,Kyphoscoliosis,Thenar muscle atrophy,Ankle contracture,Hyperreflexia,Foot dorsiflexor weakness,Ventriculomegaly,Childhood onset,Cerebral cortical atrophy,Aplasia/Hypoplasia of the corpus callosum,Fasciculations,Abnormal upper motor neuron morphology,Abnormality of the periventricular white matter,Abnormal pyramidal sign,Progressive,Slow progression,Dysphagia,Macular degeneration,Intellectual disability,Pes cavus,Seizures,Ataxia,Tip-toe gait,Phenotypic variability,Peripheral neuropathy,Spasticity,Obesity,Spastic paraplegia,Dysarthria,Distal amyotrophy,Mental deterioration,Impaired vibration sensation in the lower limbs,Distal sensory impairment,Visual impairment,Agenesis of corpus callosum,Sensory neuropathy,Adult onset,Nystagmus,Decreased muscle mass
STX17	
STX6	
SYT7	
TARDBP	Skeletal muscle atrophy,Abnormal mitochondrial morphology,Bulbar palsy,Neurodegeneration,Autosomal dominant inheritance,Dyscalculia,Degeneration of the lateral corticospinal tracts,Apraxia,Paralysis,Perseveration,Parkinsonism,Neuronal loss in the cerebral cortex,Progressive cerebellar ataxia,Distal muscle weakness,Babinski sign,Bilateral sensorineural hearing impairment,Dyspnea,Amyotrophic lateral sclerosis,Respiratory insufficiency due to muscle weakness,Respiratory failure,Abnormal lower motor neuron morphology,Muscle cramps,Emotional lability,Agitation,Depressivity,Fasciculations,Abnormal upper motor neuron morphology,Laryngospasm,Paraparesis,Xerostomia,Fatigue,Supranuclear gaze palsy,Stereotypy,Disinhibition,Rapidly progressive,Dysphagia,Nausea and vomiting,Frontotemporal dementia,Tetraparesis,Hallucinations,Anxiety,Apathy,Spasticity,Global brain atrophy,Dysarthria,Hyporeflexia,Pain,Fatigable weakness of swallowing muscles,Fatigable weakness of respiratory muscles,Generalized amyotrophy,Proximal muscle weakness,Gliosis,Generalized muscle weakness,Ptosis,Mutism
TFEB	
TGM2	
TIFA	
TMEM175	
TOM1	
TPCN1	
TPCN2	
TPPP	
TXNIP	
UVRAG	
VAMP3	
VAMP7	Elevated circulating luteinizing hormone level,Primary gonadal insufficiency,Gynecomastia,Gonadal dysgenesis,Vanishing testis,Adrenal insufficiency,Primary amenorrhea,Abnormal sex determination,Ovarian gonadoblastoma,Decreased serum estradiol,Hypoplasia of the vagina,Abnormality of cardiovascular system morphology,Clitoral hypertrophy,Female external genitalia in individual with 46,XY karyotype,Azoospermia,Cryptorchidism,Testicular gonadoblastoma,Decreased testicular size,Streak ovary,Decreased fertility in females,Nephrotic syndrome,Decreased testosterone in males,Sparse axillary hair,Elevated circulating follicle stimulating hormone level,Urogenital sinus anomaly,Nephroblastoma,Osteoporosis,Abnormality of the scrotum,Hypergonadotropic hypogonadism,Hypospadias,Sparse pubic hair,Male infertility,Micropenis,Delayed puberty,Abnormality of the labia,Absence of secondary sex characteristics,Ambiguous genitalia,Delayed skeletal maturation
VAMP8	
VAPA	
VPS11	Absent speech,Febrile seizures,Oromotor apraxia,Central hypotonia,Ventriculomegaly,Autosomal recessive inheritance,Optic atrophy,Neurogenic bladder,Multiple joint contractures,Delayed CNS myelination,Focal impaired awareness seizure,Severe global developmental delay,Temperature instability,Abnormality of the periventricular white matter,Sensorineural hearing impairment,Cerebral hypomyelination,Flexion contracture,Hypoplasia of the corpus callosum,Delayed myelination,Intellectual disability,Poor speech,Cerebral visual impairment,Constipation,Diffuse white matter abnormalities,Growth delay,Muscular hypotonia of the trunk,Spasticity,Abnormal autonomic nervous system physiology,Postnatal microcephaly,Hearing impairment,Reduced visual acuity,Global developmental delay,Developmental stagnation,Cerebellar atrophy,Microcephaly
VPS16	
VPS18	
VPS33A	Hepatomegaly,Pectus carinatum,Autosomal recessive inheritance,Optic atrophy,Infantile onset,Long eyelashes,Splenomegaly,Thrombocytopenia,Cerebral calcification,Prominent forehead,Short neck,Coarse facial features,Synophrys,Bone marrow hypocellularity,Flexion contracture,Brain atrophy,Tubular atrophy,Recurrent respiratory infections,Proteinuria,Epicanthus,Macroglossia,Delayed myelination,Coarse hair,Abnormality of the foot,Focal segmental glomerulosclerosis,Acetabular dysplasia,Hypertrophic cardiomyopathy,Patent ductus arteriosus,Hirsutism,Wide nasal bridge,Dysostosis multiplex,Global developmental delay,Anemia,Respiratory distress,Flared iliac wings,Thick vermilion border,J-shaped sella turcica,Telecanthus,Macrovesicular hepatic steatosis,Wide nose,Pectus excavatum
VPS39	
VPS41	
VTI1B	
YKT6	
